zi,is_zi,n_strokes,id_kangxi,meaning,pinyin,term,examples,variant,n_frequency,category
糸,1,6,,silk,mì,绞丝旁,系、糾、紀,糹 纟,,
缶,1,6,121,jar,fǒu,,缸、缺、缽,,,
网,1,6,,net,wǎng,,罔、罕、罘,⺲ 罒 ⺳ 罓,,
羊,1,6,,sheep,yáng,,羋、羌、美,⺶ ⺷,,
羽,1,6,124,feather,yǔ,,羿、翀、翁,,,
老,1,6,,old,lǎo,老字头,考、者、耆,耂,,
而,1,6,126,and,ér,,耍、耎、耏,,,
耒,1,6,127,plow / plough,li / lěi,,耔、耕、耖,,,
耳,1,6,128,ear,ěr,,耴、耵、耷,,,
肉,1,6,,meat / flesh,ròu,,肊、肋、然,⺼,,
臣,1,6,131,minister,chén,,臤、臥、臧,,,
自,1,6,132,self,zì,,臬、臭、臯,,,
至,1,6,133,arrive / reach,zhì,,致、臷、臺,,,
臼,1,6,134,mortar,jiù,,臾、臿、舁,,,
舌,1,6,135,tongue,shé,,舍、舐、舑,,,
舟,1,6,137,boat,zhōu,,舠、舡、舢,,,
色,1,6,139,color,sè,,艳、艴、艵,,,
虫,1,6,142,small creature / insect,chóng,,虬、虯、虱,,,
血,1,6,143,blood,xiě / xuè,,衁、衂、衃,,,
行,1,6,144,walk enclosure / walk,xíng,,衍、衎、衒,,,
衣,1,6,,clothing / clothes,yī,衣字旁,初、表、衫,⻂ 衤,,
西,1,6,,west / cover,yà / xià,,西、要、覂,襾 覀,,
页,1,6,,page,yè,,,頁,,
齐,1,6,,neat,qí,,,齊 斉,,
㐬,0,7,,,,,,,,
佥,0,7,,,,,,,,
呙,0,7,,,,,,,,
坙,0,7,,stem,,,,,,
夆,0,7,,,,,,,,
奂,0,7,,,,,,,,
孚,0,7,,,,,,,,
肙,0,7,,,,,,,,
豕,0,7,152, boar / pig,shǐ,,豗、豚、豜,,,
豸,0,7,153,fierce animal / badger,zhì,,豺、豻、豹,,,
酉,0,7,164,wine / wine vessel,yǒu,,酊、酋、酌,,,
卤,1,7,,salt,lǔ,,,鹵,,
员,1,7,,,,,,,,
㕻,1,7,,,,,,,,
甫,1,7,,,,,,,,
舛,1,7,136,oppose,chuǎn,,舜、舝、舞,,,
良,1,7,,,,,,,,
角,1,7,,horn,jué / jiǎo,,觓、觔、觕,⻇,,
言,1,7,,speech,yán,言字旁,訂、訃、計,訁 讠,,
谷,1,7,150,valley,gǔ,,谹、谽、谿,,,
豆,1,7,151,bean,dòu,,豇、豈、豉,,,
赤,1,7,155,red,chì,,赦、赧、赨,,,
走,1,7,156,run / walk,zǒu,,赳、赴、赶,⻌ ⻍ ⻎ 辶 辵 赱,,
足,1,7,,foot,zú,足字旁,趴、趵、趷,⻊ 疋 ⺪,,
身,1,7,158,body,shēn,,躬、躭、躰,,,
辛,1,7,160,bitter,xīn,,辜、辝、辟,,,
辰,1,7,161,morning,chén,,辱、農、辴,,,
邑,1,7,,city (阝 right),yì,右耳朵,邕、邗、邘,⻏ 阝,,
釆,1,7,165,distinguish / discern,biàn,,采、釉、釋,,,
里,1,7,166,village / kilometer,lǐ,,重、野、量,,,
麦,1,7,,wheat,mài,,,麥,,
龟,1,7,,turtle,guī,,,龜,,
龺,0,8,,,,,,,,
幷,0,8,,,,,,,,
隹,0,8,172,short-tailed bird / good,zhuī,,隻、隼、隽,,,
黾,0,8,,frog,mǐn,,,黽,,
其,1,8,,,,,,,,
奉,1,8,,,,,,,,
尚,1,8,,,,,,,,
易,1,8,,,,,,,,
東,1,8,,,,,,,,
责,1,8,,,,,,,,
金,1,8,,metal / gold,jīn,金字旁,釓、釔、釕,釒 钅,,
阜,1,8,,dam (阝 left) / mound,fù,,阞、阡、阢,⻖ 阝,,
隶,1,8,171,slave,lì / dài,,𨽻、隷、隸,,,
雨,1,8,173,rain,yǔ,,雩、雪、雯,,,
青,1,8,,green / blue,qīng,,靖、静、靚,靑,,
非,1,8,175,negate / wrong,fēi,,靟、靠、靡,,,
鱼,1,8,,fish,yú,,,魚,,
齿,1,8,,teeth,chǐ,,,齒,,
畐,0,9,,,,,,,,
咸,1,9,,,,,,,,
柬,1,9,,,,,,,,
畏,1,9,,,,,,,,
禺 ,1,9,,join,,,,,,
面,1,9,,face,miàn,,靤、靦、靧,靣,,
革,1,9,177,leather,gé,,靭、靮、靳,,,
韭,1,9,179,leek,jiǔ,,韰、韲、䪢,,,
音,1,9,180,sound,yīn,,竟、章、韵,,,
食,1,9,,eat,shí,食字旁,飡、飢、飣,飠 饣,,
首,1,9,185,head,shǒu,,馗、䭫、馘,,,
香,1,9,186,fragrant,xiāng,,馝、馞、馡,,,
骨,1,9,188,bone,gǔ,,骫、骭、骯,,,
鬼,1,9,194,ghost,guǐ,,鬾、魁、魂,,,
高,1,10,,tall,gāo,,髚、髛、𩫛,髙,,
鬥,1,10,191,fight,dòu,,鬦、鬧、鬨,,,
麻,1,11,200,hemp,má,,麼、麾、黁,,,
黍,0,12,202,millet,shǔ,,黎、黏、黐,,,
黄,1,12,,yellow,huáng,,,黃,,
黑,1,12,203,black,hēi,,墨、黓、黔,,,
鼓,1,13,207,drum,gǔ,,鼕、鼖、鼗,鼔,,
鼻,1,14,209,nose,bí,,鼽、鼾、齁,,,
鹿,1,11,198,dear,lù,,麀、麁、麂,,,
