zi,is_zi,id_kangxi,meaning,pinyin,n_strokes,term,examples,variant,n_frequency,category,sub_category
耳,1,128.0,ear,ěr,6,,耴、耵、耷,,31,人-生理,ear
肉,1,,meat / flesh,ròu,6,,肊、肋、然,⺼,3,人-生理,flesh
臣,1,131.0,minister,chén,6,,臤、臥、臧,,6,社会-,org
自,1,132.0,self,zì,6,,臬、臭、臯,,9,人-生理,self
至,1,133.0,arrive / reach,zhì,6,,致、臷、臺,,12,数理-时空,location
臼,1,134.0,mortar,jiù,6,,臾、臿、舁,,10,人-生理,tooth
舌,1,135.0,tongue,shé,6,,舍、舐、舑,,19,人-生理,tongue
舟,1,137.0,boat,zhōu,6,,舠、舡、舢,,18,社会-,ship
色,1,139.0,color,sè,6,,艳、艴、艵,,3,数理-颜色,
虫,1,142.0,small creature / insect,chóng,6,,虬、虯、虱,,132,动物-,amphibian
血,1,143.0,blood,xiě / xuè,6,,衁、衂、衃,,6,人-生理,blood
行,1,144.0,walk enclosure / walk,xíng,6,,衍、衎、衒,,12,人-生理,foot
衣,1,,clothing / clothes,yī,6,衣字旁,初、表、衫,⻂ 衤,25,社会-,clothing
西,1,,west / cover,yà / xià,6,,西、要、覂,襾 覀,6,数理-时空,location
页,1,,page,yè,6,,,頁,44,人-生理,face
齐,1,,neat,qí,6,,,齊 斉,5,概念-,
㐬,0,,,,7,,,,4,,
佥,0,,,,7,,,,10,,
呙,0,,,,7,,,,5,,
坙,0,,stem,,7,,,,8,植物-,
夆,0,,,,7,,,,4,,
奂,0,,,,7,,,,5,,
孚,0,,,,7,,,,9,,
肙,0,,,,7,,,,12,,
豕,0,152.0, boar / pig,shǐ,7,,豗、豚、豜,,15,动物-,mammal
豸,0,153.0,fierce animal / badger,zhì,7,,豺、豻、豹,,10,动物-,mammal
酉,0,164.0,wine / wine vessel,yǒu,7,,酊、酋、酌,,46,人-生理,food
卤,1,,salt,lǔ,7,,,鹵,0,radical,
员,1,,,,7,,,,4,社会-,org
㕻,1,,,,7,,,,0,,
甫,1,,,,7,,,,23,,
舛,1,136.0,oppose,chuǎn,7,,舜、舝、舞,,2,,
良,1,,,,7,,,,13,概念-,
角,1,,horn,jué / jiǎo,7,,觓、觔、觕,⻇,17,动物-,
言,1,,speech,yán,7,言字旁,訂、訃、計,訁 讠,36,人-生理,mouth
谷,1,150.0,valley,gǔ,7,,谹、谽、谿,,9,植物-,food
豆,1,151.0,bean,dòu,7,,豇、豈、豉,,11,植物-,food
赤,1,155.0,red,chì,7,,赦、赧、赨,,7,数理-颜色,
走,1,156.0,run / walk,zǒu,7,,赳、赴、赶,⻌ ⻍ ⻎ 辶 辵 赱,23,人-生理,foot
足,1,,foot,zú,7,足字旁,趴、趵、趷,⻊ 疋 ⺪,76,人-生理,foot
身,1,158.0,body,shēn,7,,躬、躭、躰,,5,人-生理,body
辛,1,160.0,bitter,xīn,7,,辜、辝、辟,,18,人-生理,tongue
辰,1,161.0,morning,chén,7,,辱、農、辴,,9,数理-时空,time
邑,1,,city (阝 right),yì,7,右耳朵,邕、邗、邘,⻏ 阝,8,社会-,org
釆,1,165.0,distinguish / discern,biàn,7,,采、釉、釋,,2,植物-,
里,1,166.0,village / kilometer,lǐ,7,,重、野、量,,13,数理-度量,
麦,1,,wheat,mài,7,,,麥,1,植物-,food
龟,1,,turtle,guī,7,,,龜,0,动物-,reptile
龺,0,,,,8,,,,1,radical,
幷,0,,,,8,,,,3,,
隹,0,172.0,short-tailed bird / good,zhuī,8,,隻、隼、隽,,53,动物-,bird
黾,0,,frog,mǐn,8,,,黽,2,动物-,Amphibian
其,1,,,,8,,,,17,概念-,
奉,1,,,,8,,,,5,,
尚,1,,,,8,,,,15,概念-,
易,1,,,,8,,,,15,概念-,
東,1,,,,8,,,,1,,
责,1,,,,8,,,,2,,
金,1,,metal / gold,jīn,8,金字旁,釓、釔、釕,釒 钅,18,天文-金,
阜,1,,dam (阝 left) / mound,fù,8,,阞、阡、阢,⻖ 阝,1,地理-,
隶,1,171.0,slave,lì / dài,8,,𨽻、隷、隸,,3,社会-,
雨,1,173.0,rain,yǔ,8,,雩、雪、雯,,28,天文-,
青,1,,green / blue,qīng,8,,靖、静、靚,靑,15,数理-颜色,
非,1,175.0,negate / wrong,fēi,8,,靟、靠、靡,,30,概念-,
鱼,1,,fish,yú,8,,,魚,23,动物-,fish
齿,1,,teeth,chǐ,8,,,齒,7,人-生理,tooth
畐,0,,,,9,,,,11,概念-,
咸,1,,,,9,,,,8,概念-,
柬,1,,,,9,,,,3,,
畏,1,,,,9,,,,7,,
禺 ,1,,join,,9,,,,0,,
面,1,,face,miàn,9,,靤、靦、靧,靣,5,人-生理,face
革,1,177.0,leather,gé,9,,靭、靮、靳,,34,社会-,clothing
韭,1,179.0,leek,jiǔ,9,,韰、韲、䪢,,1,植物-,
音,1,180.0,sound,yīn,9,,竟、章、韵,,12,社会-,music
食,1,,eat,shí,9,食字旁,飡、飢、飣,飠 饣,9,人-生理,food
首,1,185.0,head,shǒu,9,,馗、䭫、馘,,2,人-生理,head
香,1,186.0,fragrant,xiāng,9,,馝、馞、馡,,2,人-生理,nose
骨,1,188.0,bone,gǔ,9,,骫、骭、骯,,16,人-生理,bone
鬼,1,194.0,ghost,guǐ,9,,鬾、魁、魂,,24,社会-,faith
高,1,,tall,gāo,10,,髚、髛、𩫛,髙,15,概念-,
鬥,1,191.0,fight,dòu,10,,鬦、鬧、鬨,,1,社会-,military
麻,1,200.0,hemp,má,11,,麼、麾、黁,,10,植物-,clothing
黍,0,202.0,millet,shǔ,12,,黎、黏、黐,,1,植物-,
黄,1,,yellow,huáng,12,,,黃,0,数理-颜色,
黑,1,203.0,black,hēi,12,,墨、黓、黔,,23,数理-颜色,
鼓,1,207.0,drum,gǔ,13,,鼕、鼖、鼗,鼔,3,社会-,music
鼻,1,209.0,nose,bí,14,,鼽、鼾、齁,,3,人-生理,nose
鹿,1,198.0,dear,lù,11,,麀、麁、麂,,15,动物-,mammal
