link,bodies,zi,u_id,zi_left_up,zi_left,zi_left_down,zi_up,zi_mid,zi_down,zi_right_up,zi_right,zi_right_down,zi_mid_out,zi_mid_in,ts,desc_cn,is_active,id_shuowen,hsk_note,desc_en
L-R,2,谤,1502,,讠,,,,,,旁,,,,2025-02-16 12:37:09,,Y,,from HSK,to slander/to defame/to speak ill of
L-R,2,豁,284,,害,,,,,,谷,,,,2024-01-28 13:26:13,,Y,,from HSK,open;  clear
L-R,2,豅,6830,,谷,,,,,,龍,,,,,大長谷也。从谷龍聲。讀若聾。,Y,7466,,
L-R,2,豑,13062,,豊,,,,,,弟,,,,,爵之次弟也。从豊从弟。《虞書》曰：“平豑東作。”,Y,3087,,
L-R,2,豫,12370,,象,,,,,,予,,,,,象之大者。賈侍中說：不害於物。从象予聲。,Y,6105,in HSK,
L-R,2,貤,11848,,貝,,,,,,也,,,,,重次弟物也。从貝也聲。,Y,3944,,
L-R,2,賏,12121,,贝,,,,,,贝,,,,2024-01-23 22:13:00,,Y,,,
L-R,2,賨,2628,,貝,,,,,,宗,,,,,南蠻賦也。从貝宗聲。,Y,3973,,
L-R,2,賮,5491,,貝,,,,,,纬,,,,,會禮也。从貝纬聲。,Y,3932,,
L-R,2,賸,9323,,貝,,,,,,朕,,,,,物相增加也。从貝朕聲。一曰送也，副也。,Y,3937,,
L-R,2,财,1949,,贝,,,,,,才,,,,2024-01-18 01:58:17,,Y,,from HSK,money/wealth/riches/property/valuables
L-R,2,败,1446,,贝,,,,,,攵,,,,2024-01-25 22:55:14,,Y,,from HSK,to defeat/to damage/to lose (to an opponent)/to fail/to wither
L-R,2,贿,4804,,贝,,,,,,有,,,,2024-01-27 09:00:12,,Y,,from HSK,(bound form) bribery
L-R,2,赂,6919,,贝,,,,,,各,,,,2024-01-28 12:00:25,,Y,,from HSK,bribe/bribery
L-R,2,赖,6231,,束,,,,,,负,,,,2024-01-27 18:55:35,,Y,,from HSK,to depend on/to hang on in a place/bad/to renege (on promise)/to disclaim/to rat (on debts)/rascally/to blame/to put the blame on
L-R,2,赧,7587,,赤,,,,,,𠬝,,,,,面慙赤也。从赤𠬝聲。周失天下於赧王。,Y,6556,,
L-R,2,赫,4433,,赤,,,,,,赤,,,,2024-01-28 14:54:58,,Y,,from HSK,"awe-inspiring/abbr. for 赫茲|赫兹[he4 zi1], hertz (Hz)"
L-R,2,赭,12842,,赤,,,,,,者,,,,,赤土也。从赤者聲。,Y,6559,,
L-R,2,趼,5180,,足,,,,,,幵,,,,,獸足企也。从足幵聲。,Y,1406,,
L-R,2,趿,9800,,足,,,,,,及,,,,,進足有所擷取也。从足及聲。《爾雅》曰：“趿謂之擷。”,Y,1376,,
L-R,2,跂,4909,,足,,,,,,支,,,,,足多指也。从足支聲。,Y,1409,,
L-R,2,跋,1408,,足,,,,,,犮,,,,,蹎跋也。从足犮聲。,Y,1382,in HSK,
L-R,2,跌,3064,,足,,,,,,失,,,,,踼也。从足失聲。一曰越也。,Y,1384,in HSK,
L-R,2,跎,10289,,足,,,,,,它,,,,,蹉跎也。从足它聲。,Y,1414,,
L-R,2,跖,12991,,足,,,,,,石,,,,,足下也。从足石聲。,Y,1329,,
L-R,2,跛,1902,,足,,,,,,皮,,,,,行不正也。从足皮聲。一曰足排之。讀若彼。,Y,1391,in HSK,
L-R,2,距,5708,,足,,,,,,巨,,,,,雞距也。从足巨聲。,Y,1399,in HSK,
L-R,2,跟,3948,,足,,,,,,艮,,,,2024-01-27 18:48:24,足踵也。从足𥃩聲。,Y,1327,in HSK,
L-R,2,跣,10940,,足,,,,,,先,,,,,足親地也。从足先聲。,Y,1396,,
L-R,2,跧,8761,,足,,,,,,全,,,,,蹴也。一曰卑也，絭也。从足全聲。,Y,1348,,
L-R,2,跨,6050,,足,,,,,,夸,,,,,渡也。从足夸聲。,Y,1351,in HSK,
L-R,2,跪,4226,,足,,,,,,危,,,,,拜也。从足危聲。,Y,1331,in HSK,
L-R,2,路,226,,足,,,,,,各,,,,,道也。从足从各。,Y,1407,in HSK,
L-R,2,跲,5082,,足,,,,,,合,,,,,躓也。从足合聲。,Y,1379,,
L-R,2,跳,10087,,足,,,,,,兆,,,,,蹶也。从足兆聲。一曰躍也。,Y,1369,in HSK,
L-R,2,跽,5032,,足,,,,,,忌,,,,,長跪也。从足忌聲。,Y,1332,,
L-R,2,踊,12165,,足,,,,,,甬,,,,,跳也。从足甬聲。,Y,1345,in HSK,
L-R,2,踒,10582,,足,,,,,,委,,,,,足跌也。从足委聲。,Y,1395,,
L-R,2,踔,2549,,足,,,,,,㔬,,,,,踶也。从足㔬聲。,Y,1358,,
L-R,2,踖,4959,,足,,,,,,㫺,,,,,長脛行也。从足㫺聲。一曰踧踖。,Y,1335,,
L-R,2,踝,4639,,足,,,,,,果,,,,,足踝也。从足果聲。,Y,1328,,
L-R,2,踞,5709,,足,,,,,,居,,,,,蹲也。从足居聲。,Y,1387,,
L-R,2,踣,1892,,足,,,,,,咅,,,,,僵也。从足咅聲。《春秋傳》曰：“晉人踣之。”,Y,1390,,
L-R,2,踤,2646,,足,,,,,,卒,,,,,觸也。从足卒聲。一曰駭也。一曰蒼踤。,Y,1367,,
L-R,2,踦,4975,,足,,,,,,奇,,,,,一足也。从足奇聲。,Y,1330,,
L-R,2,踧,2647,,足,,,,,,叔,,,,,行平易也。从足叔聲。《詩》曰：“踧踧周道。”,Y,1333,,
L-R,2,踵,13098,,足,,,,,,重,,,,,追也。从足重聲。一曰往來皃。,Y,1357,,
L-R,2,踶,2996,,足,,,,,,是,,,,,躛也。从足是聲。,Y,1361,,
L-R,2,踼,9918,,足,,,,,,昜,,,,,跌踼也。从足昜聲。一曰搶也。,Y,1385,,
L-R,2,踽,5679,,足,,,,,,禹,,,,,䟽行皃。从足禹聲。《詩》曰：“獨行踽踽。”,Y,1336,,
L-R,2,蹁,8078,,足,,,,,,扁,,,,,足不正也。从足扁聲。一曰拖後足馬。讀若苹。或曰徧。,Y,1393,,
L-R,2,蹈,2883,,足,,,,,,舀,,,,,踐也。从足舀聲。,Y,1354,in HSK,
L-R,2,蹉,2704,,足,,,,,,差,,,,,蹉跎，失時也。从足差聲。,Y,1413,,
L-R,2,蹋,9819,,足,,,,,,𦐇,,,,,踐也。从足𦐇聲。,Y,1352,in HSK,
L-R,2,蹎,3009,,足,,,,,,眞,,,,,跋也。从足眞聲。,Y,1381,,
