zi,u_id,unicode,pinyin,nstrokes,alias,traditional,as_part,is_radical,layer,desc_cn,zi_en,desc_en,ts,sort_val,is_active
片,8081,,pian4,,,,Y,Y,HSK_1-Common-01,,,"thin piece/flake/a slice/film/TV play/to slice/to carve thin/partial/incomplete/one-sided/classifier for slices, tablets, tract of land, area of water/classifier for CDs, movies, DVDs etc/used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc/Kangxi radical 91",,97.0,Y
牙,11478,,ya2,,,,Y,Y,HSK_1-Common-01,,,tooth/ivory/CL:顆|颗[ke1],,158.0,Y
牛,7761,,niu2,,,,,,HSK_1-Common-01,,,"ox/cow/bull/CL:條|条[tiao2],頭|头[tou2]/newton (abbr. for 牛頓|牛顿[niu2 dun4])/(slang) awesome",,92.0,Y
犬,8769,,quan3,,,,Y,Y,HSK_1-Common-01,,,dog/Kangxi radical 94,,107.0,Y
王,10391,,wang2,,,,,,HSK_1-Common-01,,,king or monarch/best or strongest of its type/grand/great,,138.0,Y
王,10410,,wang4,,,,,,HSK_1-Common-01,,,to rule/to reign over,,139.0,Y
瓦,10329,,wa3,,,,Y,Y,HSK_1-Common-01,,,roof tile/abbr. for 瓦特[wa3 te4],,134.0,Y
艺,11953,,yi4,,,藝,,,HSK_1-Common-01,,,skill/art,,167.0,Y
见,5216,,jian4,,,見,Y,Y,HSK_1-Common-01,,,to see/to meet/to appear (to be sth)/to interview/opinion/view,,65.0,Y
见,10965,,xian4,,,見,Y,Y,HSK_1-Common-01,,,to appear/also written 現|现[xian4],,152.0,Y
计,5028,,ji4,,,計,,,HSK_1-Common-01,,,to calculate/to compute/to count/to regard as important/to plan/ruse/meter/gauge,,64.0,Y
订,3117,,ding4,,,訂,,,HSK_1-Common-01,,,to agree/to conclude/to draw up/to subscribe to (a newspaper etc)/to order,,24.0,Y
认,8871,,ren4,,,認,,,HSK_1-Common-01,,,to recognize/to know/to admit,,111.0,Y
贝,1574,,bei4,,,貝,Y,Y,HSK_1-Common-01,,,cowrie/shellfish/currency (archaic),,2.0,Y
车,2196,,che1,,,車,Y,Y,HSK_1-Common-01,,,car/vehicle/CL:輛|辆[liang4]/machine/to shape with a lathe/Kangxi radical 159,,14.0,Y
车,5643,,ju1,,,車,Y,Y,HSK_1-Common-01,,,war chariot (archaic)/rook (in Chinese chess)/rook (in chess),,74.0,Y
长,2160,,chang2,,,長,Y,Y,HSK_1-Common-01,,,length/long/forever/always/constantly,,12.0,Y
长,12768,,zhang3,,,長,Y,Y,HSK_1-Common-01,,,chief/head/elder/to grow/to develop/to increase/to enhance,,180.0,Y
门,7236,,men2,,,門,Y,Y,HSK_1-Common-01,,,"gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)",,88.0,Y
风,3609,,feng1,,,風,Y,Y,HSK_1-Common-01,,,"wind/news/style/custom/manner/CL:陣|阵[zhen4],絲|丝[si1]",,38.0,Y
飞,3508,,fei1,,,飛,Y,Y,HSK_1-Common-01,,,to fly,,33.0,Y
马,7054,,ma3,,,馬,Y,Y,HSK_1-Common-01,,,horse/CL:匹[pi3]/horse or cavalry piece in Chinese chess/knight in Western chess,,84.0,Y
丑,2405,,chou3,,,,,,HSK_1-Common-02,,,"clown/2nd earthly branch: 1-3 a.m., 12th solar month (6th January to 3rd February), year of the Ox/ancient Chinese compass point: 30°",,205.0,Y
丑,2413,,chou3,,,醜,,,HSK_1-Common-02,,,shameful/ugly/disgraceful,,206.0,Y
