id	zi	alias	pinyin	is_radical	is_active	desc_en
11564	偃	偃	yan3	0	0	to lie supine/to stop/to fall down
3945	假	假	gei1	0	0	used in 假掰[gei1 bai1]
5088	假	假	jia3	0	0	fake/false/artificial/to borrow/if/suppose
5089	假	叚	jia3	0	0	variant of 假[jia3]/to borrow
5103	假	假	jia4	0	0	vacation
4979	偈	偈	ji4	0	0	Buddhist hymn/gatha/Buddhist verse
5383	偈	偈	jie2	0	0	forceful/martial
6844	偻	僂	lou2	0	0	hunchback
6940	偻	僂	lu:3	0	0	crookbacked
253	傀	傀	gui1	0	0	grand/strange;  exotic
6126	傀	傀	kui3	0	0	puppet
476	傅	傅	fu4	0	0	surname Fu
3742	傅	傅	fu4	0	0	(bound form) instructor/(literary) to instruct/to attach/to apply (makeup etc)
644	傕	傕	jue2	0	0	surname Jue
5757	傕	傕	jue2	0	0	used in old names
393	储	儲	chu3	0	0	surname Chu/Taiwan pr. [Chu2]
2440	储	儲	chu3	0	0	(bound form) to store/to save/to have in reserve/heir/Taiwan pr. [chu2]
1098	傿	傿	yan1	0	0	name of an immortal/ancient place name/surname Yan
11597	傿	傿	yan4	0	0	fraudulent price
1037	僖	僖	xi1	0	0	surname Xi
10683	僖	僖	xi1	0	0	cautious/merry/joyful
702	僚	僚	liao2	0	0	surname Liao
6604	僚	僚	liao2	0	0	bureaucrat/colleague
610	僬	僬	jiao1	0	0	see 僬僥|僬侥[Jiao1 Yao2]
5274	僬	僬	jiao1	0	0	see 僬僬[jiao1 jiao1]
10141	僮	僮	tong2	0	0	servant boy
1251	僮	僮	zhuang4	0	0	old variant of 壯|壮, Zhuang ethnic group of Guangxi
5232	僵	僵	jiang1	0	0	rigid/deadlock/stiff (corpse)
5236	僵	殭	jiang1	0	0	variant of 僵[jiang1]
3373	儿	兒	er2	0	0	child/son
8808	儿	兒	r5	0	0	non-syllabic diminutive suffix/retroflex final
8850	儿	儿	ren2	0	0	"""variant of 人[ren2]/""""person"""" radical in Chinese characters (Kangxi radical 10), occurring in 兒, 兀, 兄 etc"""
1036	兀	兀	wu4	0	0	surname Wu  beach  coast/CL:個|个[ge4]
10650	兀	兀	wu4	0	0	cut off the feet/rising to a height/towering/bald
1183	元	元	yuan2	0	0	surname Yuan/the Yuan or Mongol dynasty (1279-1368)
12407	元	元	yuan2	0	0	currency unit (esp. Chinese yuan)/first/original/primary/fundamental/constituent/part/era (of a reign)/meta- (prefix)/(math.) argument/variable/(Tw) (geology) eon
209	兆	兆	zhao4	0	0	(bound form) omen/to foretell/million;  mega-/(Tw) trillion
1216	兆	兆	zhao4	0	0	surname Zhao
653	克	克	ke4	0	0	abbr. for 克羅地亞|克罗地亚[Ke4 luo2 di4 ya4], Croatia/(Tw) abbr. for 克羅埃西亞|克罗埃西亚[Ke4 luo2 ai1 xi1 ya4], Croatia
654	克	剋	ke4	0	0	Ke (c. 2000 BC), seventh of the legendary Flame Emperors, 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God
5957	克	克	ke4	0	0	to be able to/to subdue/to restrain/to overcome/gram/Tibetan unit of land area, about 6 ares
5959	克	剋	ke4	0	0	variant of 克[ke4]/to subdue/to overthrow/to restrain
5963	克	尅	ke4	0	0	variant of 剋|克[ke4]
